"Date,U.S. "
"7320,1097"
"7351,1145"
"7380,1167"
"7411,1165"
"7441,1181"
"7472,1222"
"7502,1218"
"7533,1255"
"7564,1251"
"7594,1277"
"7625,1287"
"7655,1257"
"7686,1230"
"7717,1269"
"7745,1326"
"7776,1341"
"7806,1361"
"7837,1352"
"7867,1305"
"7898,1326"
"7929,1225"
"7959,1156"
"7990,1270"
"8020,1360"
"8051,1410"
"8082,1476"
"8110,1522"
"8141,1506"
"8171,1516"
"8202,1536"
"8232,1520"
"8263,1518"
"8294,1527"
"8324,1562"
"8355,1601"
"8385,1634"
"8416,1694"
"8447,1735"
"8475,1838"
"8506,1967"
"8536,2012"
"8567,2095"
"8597,2127"
"8628,2143"
"8659,2177"
"8689,2178"
"8720,2180"
"8750,1921"
"8781,1848"
"8812,1927"
"8841,1940"
"8872,1994"
"8902,1995"
"8933,1986"
"8963,1998"
"8994,2013"
"9025,2013"
"9055,1951"
"9086,1893"
"9116,1853"
"9147,1736"
"9178,1735"
"9206,1729"
"9237,1730"
"9267,1722"
"9298,1731"
"9328,1682"
"9359,1684"
"9390,1719"
"9420,1670"
"9451,1664"
"9481,1601"
"9512,1935"
"9543,1960"
"9571,1964"
"9602,2012"
"9632,2027"
"9663,2060"
"9693,2102"
"9724,2162"
"9755,2193"
"9785,2247"
"9816,2330"
"9846,2343"
"9877,2315"
"9908,2433"
"9936,2436"
"9967,2438"
"9997,2479"
"10028,2510"
"10058,2541"
"10089,2542"
"10120,2530"
"10150,2501"
"10181,2483"
"10211,2418"
"10242,2348"
"10273,2364"
"10302,2404"
"10333,2413"
"10363,2428"
"10394,2423"
"10424,2438"
"10455,2510"
"10486,2549"
"10516,2573"
"10547,2537"
"10577,2564"
"10608,2647"
"10639,2695"
"10667,2660"
"10698,2680"
"10728,2726"
"10759,2780"
"10789,2945"
"10820,2973"
"10851,2915"
"10881,2853"
"10912,2625"
"10942,2610"
"10973,2569"
"11004,2653"
"11032,2523"
"11063,2583"
"11093,2598"
"11124,2569"
"11154,2481"
"11185,2414"
"11216,2374"
"11246,2351"
"11277,2265"
"11307,2160"
"11338,2121"
"11369,2162"
"11397,2240"
"11428,2429"
"11458,2478"
"11489,2500"
"11519,2523"
"11550,2194"
"11581,2146"
"11611,2364"
"11642,2449"
"11672,2365"
"11703,2162"
"11734,2156"
"11763,2176"
"11794,2264"
"11824,2221"
"11855,2171"
"11885,2150"
"11916,2147"
"11947,2184"
"11977,2116"
"12008,2121"
"12038,1880"
"12069,2102"
"12100,2188"
"12128,2425"
"12159,2190"
"12189,2795"
"12220,2813"
"12250,2752"
"12281,2758"
"12312,2611"
"12342,2454"
"12373,2332"
"12403,2328"
"12434,2323"
"12465,2335"
"12493,2433"
"12524,2522"
"12554,2580"
"12585,2655"
"12615,2624"
"12646,2552"
"12677,2525"
"12707,2471"
"12738,2413"
"12768,2413"
"12799,2539"
"12830,2599"
"12858,2629"
"12889,2614"
"12919,2660"
"12950,2745"
"12980,2758"
"13011,2736"
"13042,2804"
"13072,2844"
"13103,2883"
"13133,2862"
"13164,2865"
"13195,2832"
"13224,2922"
"13255,3016"
"13285,3024"
"13316,3006"
"13346,2970"
"13377,3067"
"13408,3032"
"13438,3090"
"13469,3034"
"13499,3150"
"13530,3180"
"13561,3328"
"13589,3443"
"13620,3499"
"13650,3578"
"13681,3527"
"13711,3572"
"13742,3713"
"13773,3666"
"13803,3578"
"13834,3474"
"13864,3438"
"13895,3420"
"13926,3381"
"13954,3436"
"13985,3423"
"14015,3183"
"14046,3143"
"14076,3319"
"14107,3425"
"14138,3289"
"14168,3285"
"14199,3286"
"14229,3300"
"14260,3306"
"14291,3338"
"14319,3444"
"14350,3517"
"14380,3566"
"14411,3487"
"14441,3579"
"14472,2609"
"14503,3606"
"14533,3684"
"14564,3730"
"14594,3704"
"14625,3782"
"14656,3738"
"14685,3921"
"14716,3967"
"14746,3995"
"14777,3977"
"14807,4113"
"14838,4214"
"14869,4347"
"14899,4403"
"14930,4455"
"14960,4360"
"14991,3569"
"15022,3600"
"15050,3639"
"15081,3703"
"15111,3773"
"15142,3834"
"15172,3815"
"15203,3915"
"15234,3982"
"15264,4069"
"15295,4112"
"15325,4138"
"15356,4137"
"15387,4070"
"15415,3693"
"15446,3502"
"15476,3555"
"15507,3620"
"15537,3606"
"15568,3885"
"15599,3860"
"15629,3881"
"15660,3870"
"15690,3888"
"15721,3786"
"15752,3875"
"15780,3924"
"15811,3970"
"15841,3999"
"15872,4004"
"15902,4117"
"15933,4219"
"15964,4352"
"15994,4414"
"16025,4461"
"16055,4364"
"16086,4377"
"16117,4443"
"16146,4413"
"16177,4453"
"16207,4554"
"16238,4575"
"16268,4563"
"16299,4691"
"16330,4766"
"16360,4739"
"16391,4749"
"16421,4688"
"16452,4756"
"16483,4767"
"16511,4804"
"16542,4807"
"16572,4877"
"16603,4859"
"16633,4897"
"16664,4877"
"16695,4423"
"16725,4284"
"16756,4517"
"16786,4472"
"16817,4625"
"16848,4719"
"16876,4414"
"16907,4673"
"16937,4785"
"16968,4896"
"16998,4922"
"17029,4836"
"17060,4790"
"17090,4785"
"17121,4822"
"17151,4725"
"17182,4672"
"17213,4811"
"17241,4909"
"17272,4980"
"17302,5034"
"17333,5102"
"17363,5141"
"17394,5176"
"17425,5256"
"17455,5324"
"17486,5290"
"17516,5340"
"17547,5293"
"17578,5365"
"17607,5415"
"17638,5491"
"17668,5507"
"17699,5548"
"17729,5528"
"17760,5581"
"17791,5441"
"17821,5644"
"17852,5693"
"17882,5722"
"17913,5388"
"17944,5382"
"17972,5239"
"18003,5011"
"18033,4976"
"18064,4909"
"18094,4695"
"18125,4786"
"18156,4943"
"18186,5015"
"18217,5217"
"18247,5027"
"18278,4933"
"18309,4969"
"18337,4881"
"18368,4972"
"18398,5147"
"18429,5377"
"18459,5486"
"18490,5684"
"18521,5890"
"18551,5904"
"18582,5893"
"18612,5725"
"18643,5917"
"18674,5934"
"18702,6057"
"18733,6129"
"18763,6181"
"18794,6135"
"18824,6149"
"18855,6243"
"18886,6267"
"18916,6392"
"18947,6283"
"18977,6193"
"19008,6221"
"19039,6373"
"19068,6359"
"19099,6431"
"19129,5089"
"19160,6190"
"19190,6096"
"19221,6218"
"19252,6520"
"19282,6503"
"19313,6461"
